Time,End,lat,lon,Phase C-A Avg Volts
26-10-2022 13:00:00,26-10-2022 13:00:00,10.71553,-85.62812,119.74
26-10-2022 13:00:00,26-10-2022 13:00:00,09.95461,-85.03797,117.80
26-10-2022 13:00:00,26-10-2022 13:00:00,09.99357,-85.28716,122.66
26-10-2022 14:00:00,26-10-2022 14:00:00,9.848634400644745,-84.31491096137044,119.32
26-10-2022 14:00:00,26-10-2022 14:00:00,10.71553,-85.62812,119.28
26-10-2022 14:00:00,26-10-2022 14:00:00,09.95461,-85.03797,117.80
26-10-2022 14:00:00,26-10-2022 14:00:00,09.99357,-85.28716,122.52
26-10-2022 15:00:00,26-10-2022 15:00:00,9.848634400644745,-84.31491096137044,117.70
26-10-2022 15:00:00,26-10-2022 15:00:00,10.71553,-85.62812,119.52
26-10-2022 15:00:00,26-10-2022 15:00:00,09.95461,-85.03797,116.06
26-10-2022 15:00:00,26-10-2022 15:00:00,09.99357,-85.28716,122.30
26-10-2022 16:00:00,26-10-2022 16:00:00,9.848634400644745,-84.31491096137044,118.44
26-10-2022 16:00:00,26-10-2022 16:00:00,10.71553,-85.62812,119.98
26-10-2022 16:00:00,26-10-2022 16:00:00,09.95461,-85.03797,118.38
26-10-2022 16:00:00,26-10-2022 16:00:00,09.99357,-85.28716,121.32
26-10-2022 17:00:00,26-10-2022 17:00:00,9.848634400644745,-84.31491096137044,118.62
26-10-2022 17:00:00,26-10-2022 17:00:00,10.71553,-85.62812,120.54
26-10-2022 17:00:00,26-10-2022 17:00:00,09.95461,-85.03797,117.88
26-10-2022 17:00:00,26-10-2022 17:00:00,09.99357,-85.28716,123.26
26-10-2022 18:00:00,26-10-2022 18:00:00,9.848634400644745,-84.31491096137044,116.18
26-10-2022 18:00:00,26-10-2022 18:00:00,10.71553,-85.62812,119.50
26-10-2022 18:00:00,26-10-2022 18:00:00,09.95461,-85.03797,117.58
26-10-2022 18:00:00,26-10-2022 18:00:00,09.99357,-85.28716,123.96
26-10-2022 19:00:00,26-10-2022 19:00:00,9.848634400644745,-84.31491096137044,117.46
26-10-2022 19:00:00,26-10-2022 19:00:00,10.71553,-85.62812,119.98
26-10-2022 19:00:00,26-10-2022 19:00:00,09.95461,-85.03797,117.70
26-10-2022 19:00:00,26-10-2022 19:00:00,09.99357,-85.28716,121.20
26-10-2022 20:00:00,26-10-2022 20:00:00,9.848634400644745,-84.31491096137044,117.60
26-10-2022 20:00:00,26-10-2022 20:00:00,10.71553,-85.62812,120.60
26-10-2022 20:00:00,26-10-2022 20:00:00,09.95461,-85.03797,117.30
26-10-2022 20:00:00,26-10-2022 20:00:00,09.99357,-85.28716,123.42
26-10-2022 21:00:00,26-10-2022 21:00:00,9.848634400644745,-84.31491096137044,117.40
26-10-2022 21:00:00,26-10-2022 21:00:00,10.71553,-85.62812,120.18
26-10-2022 21:00:00,26-10-2022 21:00:00,09.95461,-85.03797,118.30
